"Story","Title","Result","Date","Stability","Duration (s)"
"As a user of the movie application, I want to delete an existing movie","Delete an existing movie successfully","FAILURE","2024-11-06T00:40:22.470042276-05:00[America/Bogota]","0.0","0.4"
"As a user of the movie application, I want to delete an existing movie","Delete a non-existent movie","SUCCESS","2024-11-06T00:40:23.396488668-05:00[America/Bogota]","0.0","0.0"
"As an user of the movie application, I want to get all the information about a specific movie","Get information about one specific movie sending its id","SUCCESS","2024-11-04T20:28:27.189738513-05:00[America/Bogota]","0.0","0.41"
"As an user of the movie application, I want to get all the information about a specific movie","Get a specific movie","SUCCESS","2024-11-06T07:22:47.473927617-05:00[America/Bogota]","0.0","0.42"
"As an user of the movie application, I want to get all the information about a specific movie","Get all movies","SUCCESS","2024-11-06T07:22:48.782183617-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to create a new movie","Create a new movie successfully","SUCCESS","2024-11-06T07:22:48.966037859-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to create a new movie","Create a movie with invalid data","SUCCESS","2024-11-06T07:22:49.041640729-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to update an existing movie","Update an existing movie successfully","SUCCESS","2024-11-06T00:21:26.429492873-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to update an existing movie","Update a movie with invalid data","SUCCESS","2024-11-06T00:21:26.480756064-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to update an existing movie","Update a non-existent movie","SUCCESS","2024-11-06T00:21:26.500374803-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to edit an existing movie","Update a movie successfully","ERROR","2024-11-06T01:07:38.902338949-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to edit an existing movie","Update a non-existent movie","SUCCESS","2024-11-06T01:07:38.976400267-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to edit a existing movie","Update a movie successfully","ERROR","2024-11-06T06:43:46.585979074-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to edit a existing movie","Update a movie with invalid data","ERROR","2024-11-06T06:43:46.672100495-05:00[America/Bogota]","0.0","0.0"
